RH, Holgura:-1.0
R4_CD Manquehue_3, Holgura:15.0
R4_CD Manquehue_4, Holgura:15.0
R4_CD Manquehue_5, Holgura:17.0
R4_CD Manquehue_6, Holgura:15.0
R4_CD Manquehue_7, Holgura:15.0
R4_CD Manquehue_8, Holgura:15.0
R4_CD Manquehue_9, Holgura:15.0
R4_CD Manquehue_10, Holgura:15.0
R4_CD Manquehue_11, Holgura:15.0
R4_CD Manquehue_12, Holgura:15.0
R4_CD Manquehue_13, Holgura:15.0
R4_CD Manquehue_14, Holgura:15.0
R4_CD Manquehue_15, Holgura:15.0
R4_CD Boston College_2, Holgura:15.0
R4_CD Boston College_3, Holgura:15.0
R4_CD Boston College_4, Holgura:15.0
R4_CD Boston College_5, Holgura:15.0
R4_CD Boston College_6, Holgura:15.0
R4_CD Boston College_7, Holgura:17.0
R4_CD Boston College_8, Holgura:15.0
R4_CD Boston College_9, Holgura:15.0
R4_CD Boston College_10, Holgura:15.0
R4_CD Boston College_11, Holgura:15.0
R4_CD Boston College_12, Holgura:15.0
R4_CD Boston College_13, Holgura:15.0
R4_CD Boston College_14, Holgura:15.0
R4_CD Boston College_15, Holgura:15.0
R4_CD Brisas_2, Holgura:15.0
R4_CD Brisas_3, Holgura:17.0
R4_CD Brisas_4, Holgura:15.0
R4_CD Brisas_5, Holgura:15.0
R4_CD Brisas_6, Holgura:15.0
R4_CD Brisas_7, Holgura:15.0
R4_CD Brisas_8, Holgura:15.0
R4_CD Brisas_9, Holgura:15.0
R4_CD Brisas_10, Holgura:15.0
R4_CD Brisas_11, Holgura:15.0
R4_CD Brisas_12, Holgura:15.0
R4_CD Brisas_13, Holgura:15.0
R4_CD Brisas_14, Holgura:15.0
R4_CD Brisas_15, Holgura:15.0
R4_CD La Unión_2, Holgura:15.0
R4_CD La Unión_3, Holgura:15.0
R4_CD La Unión_4, Holgura:15.0
R4_CD La Unión_5, Holgura:15.0
R4_CD La Unión_6, Holgura:15.0
R4_CD La Unión_7, Holgura:15.0
R4_CD La Unión_8, Holgura:15.0
R4_CD La Unión_9, Holgura:15.0
R4_CD La Unión_10, Holgura:15.0
R4_CD La Unión_11, Holgura:15.0
R4_CD La Unión_12, Holgura:15.0
R4_CD La Unión_13, Holgura:17.0
R4_CD La Unión_14, Holgura:15.0
R4_CD La Unión_15, Holgura:15.0
R4_CD Ceppi_2, Holgura:15.0
R4_CD Ceppi_3, Holgura:15.0
R4_CD Ceppi_4, Holgura:15.0
R4_CD Ceppi_5, Holgura:15.0
R4_CD Ceppi_6, Holgura:15.0
R4_CD Ceppi_7, Holgura:15.0
R4_CD Ceppi_8, Holgura:15.0
R4_CD Ceppi_9, Holgura:17.0
R4_CD Ceppi_10, Holgura:15.0
R4_CD Ceppi_11, Holgura:15.0
R4_CD Ceppi_12, Holgura:15.0
R4_CD Ceppi_13, Holgura:15.0
R4_CD Ceppi_14, Holgura:15.0
R4_CD Ceppi_15, Holgura:15.0
R4_CD Achao_2, Holgura:15.0
R4_CD Achao_3, Holgura:15.0
R4_CD Achao_4, Holgura:15.0
R4_CD Achao_5, Holgura:15.0
R4_CD Achao_6, Holgura:15.0
R4_CD Achao_7, Holgura:15.0
R4_CD Achao_8, Holgura:15.0
R4_CD Achao_9, Holgura:15.0
R4_CD Achao_10, Holgura:15.0
R4_CD Achao_11, Holgura:15.0
R4_CD Achao_12, Holgura:15.0
R4_CD Achao_13, Holgura:15.0
R4_CD Achao_14, Holgura:15.0
R4_CD Achao_15, Holgura:15.0
R4_CD Alemán de Concepción_2, Holgura:15.0
R4_CD Alemán de Concepción_3, Holgura:15.0
R4_CD Alemán de Concepción_4, Holgura:15.0
R4_CD Alemán de Concepción_5, Holgura:15.0
R4_CD Alemán de Concepción_6, Holgura:15.0
R4_CD Alemán de Concepción_7, Holgura:15.0
R4_CD Alemán de Concepción_8, Holgura:15.0
R4_CD Alemán de Concepción_9, Holgura:17.0
R4_CD Alemán de Concepción_10, Holgura:15.0
R4_CD Alemán de Concepción_11, Holgura:15.0
R4_CD Alemán de Concepción_12, Holgura:15.0
R4_CD Alemán de Concepción_13, Holgura:15.0
R4_CD Alemán de Concepción_14, Holgura:15.0
R4_CD Alemán de Concepción_15, Holgura:15.0
