,Fechas,Local,Visita,Árbitro
109,14,Club Andino de Los Ángeles,CD Liceo Curicó,h
110,14,CD Alemán de Concepción,CD Brisas,i
111,14,CD Boston College,CD Arturo Prat de San Felipe,j
112,15,CD Ceppi,CD Boston College,a
113,15,CD Arturo Prat de San Felipe,CD Alemán de Concepción,c
114,15,CD La Unión,Club Andino de Los Ángeles,d
115,15,CD AB Temuco,Estadio Palestino,e
116,15,CD Brisas,Stadio Italiano,f
117,15,CD Liceo Curicó,CD Manquehue,g
118,15,Club Atlético Puerto Varas,CD Achao,i
119,15,CD Quilicura Basket,Estadio Español,j
120,16,CD Achao,CD Manquehue,a
121,16,CD Arturo Prat de San Felipe,CD Quilicura Basket,b
122,16,CD Liceo Curicó,CD Alemán de Concepción,c
123,16,CD La Unión,CD Boston College,d
124,16,Club Atlético Puerto Varas,Club Andino de Los Ángeles,e
125,16,CD Brisas,Estadio Español,f
126,16,CD AB Temuco,Stadio Italiano,g
127,16,CD Ceppi,Estadio Palestino,h
128,17,CD Boston College,Club Atlético Puerto Varas,a
129,17,Estadio Palestino,CD Arturo Prat de San Felipe,b
130,17,CD Alemán de Concepción,CD Ceppi,c
131,17,Estadio Español,CD AB Temuco,d
132,17,Stadio Italiano,CD Liceo Curicó,f
133,17,Club Andino de Los Ángeles,CD Achao,g
134,17,CD Quilicura Basket,CD Brisas,i
135,17,CD Manquehue,CD La Unión,j
136,18,CD Achao,Estadio Palestino,a
137,18,Club Atlético Puerto Varas,CD Manquehue,b
138,18,CD La Unión,CD Alemán de Concepción,c
139,18,CD AB Temuco,CD Brisas,e
140,18,CD Ceppi,Estadio Español,f
141,18,CD Liceo Curicó,CD Quilicura Basket,g
142,18,Club Andino de Los Ángeles,CD Boston College,h
143,18,CD Arturo Prat de San Felipe,Stadio Italiano,j
144,19,CD Alemán de Concepción,Club Atlético Puerto Varas,a
145,19,CD Quilicura Basket,CD AB Temuco,c
146,19,Stadio Italiano,CD Ceppi,d
147,19,Estadio Palestino,CD La Unión,e
148,19,Estadio Español,CD Liceo Curicó,g
149,19,CD Brisas,CD Arturo Prat de San Felipe,h
150,19,CD Boston College,CD Achao,i
151,19,CD Manquehue,Club Andino de Los Ángeles,j
152,20,CD Achao,CD Alemán de Concepción,a
153,20,CD Liceo Curicó,Estadio Palestino,b
154,20,CD Manquehue,CD Boston College,c
155,20,Club Atlético Puerto Varas,CD Quilicura Basket,d
156,20,CD La Unión,Stadio Italiano,f
157,20,Club Andino de Los Ángeles,CD AB Temuco,g
158,20,CD Ceppi,CD Brisas,i
159,20,CD Arturo Prat de San Felipe,Estadio Español,j
160,21,CD Brisas,CD La Unión,a
161,21,CD AB Temuco,CD Arturo Prat de San Felipe,b
162,21,Estadio Palestino,CD Manquehue,c
163,21,CD Quilicura Basket,CD Ceppi,f
164,21,CD Alemán de Concepción,Club Andino de Los Ángeles,g
165,21,CD Boston College,CD Liceo Curicó,h
166,21,Stadio Italiano,Club Atlético Puerto Varas,i
167,21,Estadio Español,CD Achao,j
168,22,CD Achao,Stadio Italiano,a
169,22,Club Andino de Los Ángeles,Estadio Español,b
170,22,CD Manquehue,CD Quilicura Basket,c
171,22,CD La Unión,CD AB Temuco,e
172,22,Club Atlético Puerto Varas,Estadio Palestino,f
173,22,CD Boston College,CD Alemán de Concepción,g
174,22,CD Liceo Curicó,CD Brisas,i
175,22,CD Ceppi,CD Arturo Prat de San Felipe,j
176,23,Estadio Español,Club Atlético Puerto Varas,a
177,23,CD Alemán de Concepción,CD Manquehue,c
178,23,CD Brisas,CD Achao,d
179,23,CD Quilicura Basket,CD La Unión,f
180,23,Estadio Palestino,Club Andino de Los Ángeles,g
181,23,CD AB Temuco,CD Ceppi,h
182,23,CD Arturo Prat de San Felipe,CD Liceo Curicó,i
183,23,Stadio Italiano,CD Boston College,j
184,24,CD La Unión,Estadio Español,a
185,24,CD Alemán de Concepción,Estadio Palestino,b
186,24,CD Boston College,CD Brisas,c
187,24,CD Manquehue,Stadio Italiano,d
188,24,Club Atlético Puerto Varas,CD AB Temuco,f
189,24,CD Liceo Curicó,CD Ceppi,h
190,24,CD Achao,CD Arturo Prat de San Felipe,i
191,24,Club Andino de Los Ángeles,CD Quilicura Basket,j
192,25,CD Quilicura Basket,CD Achao,a
193,25,CD Ceppi,CD La Unión,d
194,25,CD Arturo Prat de San Felipe,Club Atlético Puerto Varas,e
195,25,Estadio Español,CD Manquehue,f
196,25,CD AB Temuco,CD Liceo Curicó,g
197,25,Stadio Italiano,CD Alemán de Concepción,h
198,25,Estadio Palestino,CD Boston College,i
199,25,CD Brisas,Club Andino de Los Ángeles,j
200,26,Club Andino de Los Ángeles,CD Ceppi,a
201,26,CD Manquehue,CD Arturo Prat de San Felipe,b
202,26,CD Alemán de Concepción,CD Quilicura Basket,c
203,26,CD Achao,CD AB Temuco,d
204,26,CD La Unión,CD Liceo Curicó,f
205,26,CD Boston College,Estadio Español,g
206,26,Estadio Palestino,Stadio Italiano,h
207,26,Club Atlético Puerto Varas,CD Brisas,j
208,27,Estadio Español,Estadio Palestino,a
209,27,CD Quilicura Basket,CD Boston College,b
210,27,CD Liceo Curicó,Club Atlético Puerto Varas,c
211,27,CD AB Temuco,CD Alemán de Concepción,d
212,27,Stadio Italiano,Club Andino de Los Ángeles,e
213,27,CD Brisas,CD Manquehue,g
214,27,CD Ceppi,CD Achao,i
215,27,CD Arturo Prat de San Felipe,CD La Unión,j
216,28,CD Achao,CD Liceo Curicó,a
217,28,CD Manquehue,CD Ceppi,c
218,28,Club Atlético Puerto Varas,CD La Unión,d
219,28,CD Boston College,CD AB Temuco,f
220,28,CD Alemán de Concepción,Estadio Español,g
221,28,Club Andino de Los Ángeles,CD Arturo Prat de San Felipe,h
222,28,Estadio Palestino,CD Brisas,i
223,28,Stadio Italiano,CD Quilicura Basket,j
224,29,Estadio Español,Stadio Italiano,a
225,29,CD La Unión,CD Achao,b
226,29,CD AB Temuco,CD Manquehue,e
227,29,CD Ceppi,Club Atlético Puerto Varas,f
228,29,CD Brisas,CD Alemán de Concepción,g
229,29,CD Arturo Prat de San Felipe,CD Boston College,h
230,29,CD Quilicura Basket,Estadio Palestino,i
231,29,CD Liceo Curicó,Club Andino de Los Ángeles,j
232,30,Club Andino de Los Ángeles,CD La Unión,a
233,30,Estadio Español,CD Quilicura Basket,b
234,30,Estadio Palestino,CD AB Temuco,c
235,30,CD Boston College,CD Ceppi,e
236,30,CD Achao,Club Atlético Puerto Varas,f
237,30,CD Alemán de Concepción,CD Arturo Prat de San Felipe,g
238,30,Stadio Italiano,CD Brisas,h
239,30,CD Manquehue,CD Liceo Curicó,j
